下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
1,美联储FOMC议息会议,1月26日,T,传媒,8,6,2,0,0.75,0.25,0.0,0.011682
1,美联储FOMC议息会议,1月26日,T,汽车,8,5,3,0,0.625,0.375,0.0,0.014201
1,美联储FOMC议息会议,1月26日,T,石油石化,8,7,1,0,0.875,0.125,0.0,0.009058
1,美联储FOMC议息会议,1月26日,T,纺织服装,8,8,0,0,1.0,0.0,0.0,0.011794
1,美联储FOMC议息会议,1月26日,T+1,交通运输,8,1,7,0,0.125,0.875,0.0,-0.009213
1,美联储FOMC议息会议,1月26日,T+1,纺织服装,8,1,7,0,0.125,0.875,0.0,-0.006216
1,美联储FOMC议息会议,1月26日,T+1,非银行金融,8,2,6,0,0.25,0.75,0.0,-0.011671
