下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
9,世界人工智能大会,9月1日,T,交通运输,5,1,4,0,0.2,0.8,0.0,-0.005365
9,世界人工智能大会,9月1日,T,医药,5,1,4,0,0.2,0.8,0.0,-0.001694
9,世界人工智能大会,9月1日,T,建材,5,2,3,0,0.4,0.6,0.0,-0.002422
9,世界人工智能大会,9月1日,T,建筑,5,1,4,0,0.2,0.8,0.0,-0.003936
9,世界人工智能大会,9月1日,T,有色金属,5,2,3,0,0.4,0.6,0.0,0.0022
9,世界人工智能大会,9月1日,T,机械,5,1,4,0,0.2,0.8,0.0,-0.000349
9,世界人工智能大会,9月1日,T,消费者服务,5,2,3,0,0.4,0.6,0.0,-0.009523
9,世界人工智能大会,9月1日,T,煤炭,5,2,3,0,0.4,0.6,0.0,-0.000589
9,世界人工智能大会,9月1日,T,电力及公用事业,5,1,4,0,0.2,0.8,0.0,-0.002149
9,世界人工智能大会,9月1日,T,纺织服装,5,2,3,0,0.4,0.6,0.0,-0.002618
9,世界人工智能大会,9月1日,T,轻工制造,5,1,4,0,0.2,0.8,0.0,-0.005161
9,世界人工智能大会,9月1日,T,钢铁,5,1,4,0,0.2,0.8,0.0,-0.004844
9,世界人工智能大会,9月1日,T,银行,5,0,5,0,0.0,1.0,0.0,-0.011946
9,世界人工智能大会,9月1日,T,非银行金融,5,1,4,0,0.2,0.8,0.0,-0.006324
9,世界人工智能大会,9月1日,T+1,商贸零售,5,4,1,0,0.8,0.2,0.0,0.008213
9,世界人工智能大会,9月1日,T+1,家电,5,2,3,0,0.4,0.6,0.0,-0.001872
9,世界人工智能大会,9月1日,T+1,银行,5,2,3,0,0.4,0.6,0.0,-0.005727
9,世界人工智能大会,9月1日,T+5,基础化工,5,4,1,0,0.8,0.2,0.0,0.014987
9,世界人工智能大会,9月1日,T+5,家电,5,4,1,0,0.8,0.2,0.0,0.008526
9,世界人工智能大会,9月1日,T+5,有色金属,5,4,1,0,0.8,0.2,0.0,0.018939
9,世界人工智能大会,9月1日,T+5,机械,5,4,1,0,0.8,0.2,0.0,0.016416
9,世界人工智能大会,9月1日,T+5,电力及公用事业,5,4,1,0,0.8,0.2,0.0,0.013355
9,世界人工智能大会,9月1日,T+5,电力设备及新能源,5,4,1,0,0.8,0.2,0.0,0.018688
9,世界人工智能大会,9月1日,T+5,纺织服装,5,4,1,0,0.8,0.2,0.0,0.005243
9,世界人工智能大会,9月1日,T+5,钢铁,5,4,1,0,0.8,0.2,0.0,0.021274
9,世界人工智能大会,9月1日,T+5,银行,5,3,2,0,0.6,0.4,0.0,0.008564
9,世界人工智能大会,9月1日,T+5,非银行金融,5,4,1,0,0.8,0.2,0.0,0.008074
9,世界人工智能大会,9月1日,T-1,农林牧渔,5,2,3,0,0.4,0.6,0.0,0.000317
9,世界人工智能大会,9月1日,T-1,建材,5,2,3,0,0.4,0.6,0.0,0.003287
9,世界人工智能大会,9月1日,T-1,银行,5,2,3,0,0.4,0.6,0.0,0.001521
9,世界人工智能大会,9月1日,T-5,有色金属,5,1,4,0,0.2,0.8,0.0,-0.00564
9,中国—东盟博览会,9月16日,T,农林牧渔,8,2,6,0,0.25,0.75,0.0,-0.006298
9,中国—东盟博览会,9月16日,T,医药,8,2,6,0,0.25,0.75,0.0,-0.00998
9,中国—东盟博览会,9月16日,T,商贸零售,8,2,6,0,0.25,0.75,0.0,-0.007331
9,中国—东盟博览会,9月16日,T,纺织服装,8,1,7,0,0.125,0.875,0.0,-0.006608
9,中国—东盟博览会,9月16日,T,通信,8,1,7,0,0.125,0.875,0.0,-0.006189
9,中国—东盟博览会,9月16日,T,钢铁,8,3,5,0,0.375,0.625,0.0,-0.010697
9,中国—东盟博览会,9月16日,T+1,有色金属,8,8,0,0,1.0,0.0,0.0,0.011692
9,中国—东盟博览会,9月16日,T+1,消费者服务,8,6,2,0,0.75,0.25,0.0,0.011532
9,中国—东盟博览会,9月16日,T+1,煤炭,8,8,0,0,1.0,0.0,0.0,0.013661
9,中国—东盟博览会,9月16日,T+1,电力及公用事业,8,6,2,0,0.75,0.25,0.0,0.006181
9,中国—东盟博览会,9月16日,T+5,纺织服装,8,2,6,0,0.25,0.75,0.0,-0.012386
9,中国—东盟博览会,9月16日,T-1,传媒,8,2,6,0,0.25,0.75,0.0,-0.008089
9,中国—东盟博览会,9月16日,T-1,农林牧渔,8,3,5,0,0.375,0.625,0.0,-0.005732
9,中国—东盟博览会,9月16日,T-1,基础化工,8,2,6,0,0.25,0.75,0.0,-0.008129
9,中国—东盟博览会,9月16日,T-1,家电,8,1,7,0,0.125,0.875,0.0,-0.009259
9,中国—东盟博览会,9月16日,T-1,汽车,8,2,6,0,0.25,0.75,0.0,-0.010154
9,中国—东盟博览会,9月16日,T-1,钢铁,8,2,6,0,0.25,0.75,0.0,-0.005158
9,中国—东盟博览会,9月16日,T-1,银行,8,3,5,0,0.375,0.625,0.0,-0.000471
9,中国—东盟博览会,9月16日,T-1,非银行金融,8,2,6,0,0.25,0.75,0.0,-0.004653
9,中国—东盟博览会,9月16日,T-5,农林牧渔,8,5,3,0,0.625,0.375,0.0,6e-05
9,中国—东盟博览会,9月16日,T-5,医药,8,6,2,0,0.75,0.25,0.0,2.2e-05
9,中国—东盟博览会,9月16日,T-5,商贸零售,8,5,3,0,0.625,0.375,0.0,0.003083
9,中国—东盟博览会,9月16日,T-5,建筑,8,2,6,0,0.25,0.75,0.0,-0.004286
9,中国—东盟博览会,9月16日,T-5,消费者服务,8,6,2,0,0.75,0.25,0.0,0.003654
9,中国—东盟博览会,9月16日,T-5,纺织服装,8,6,2,0,0.75,0.25,0.0,0.001102
9,中国—东盟博览会,9月16日,T-5,通信,8,5,3,0,0.625,0.375,0.0,0.000874
9,中国—东盟博览会,9月16日,T-5,非银行金融,8,2,6,0,0.25,0.75,0.0,-0.00576
