下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
10,广交会秋季,10月15日,T,传媒,8,2,6,0,0.25,0.75,0.0,-0.002066
10,广交会秋季,10月15日,T,农林牧渔,8,2,6,0,0.25,0.75,0.0,-0.001576
10,广交会秋季,10月15日,T,医药,8,2,6,0,0.25,0.75,0.0,-0.001176
10,广交会秋季,10月15日,T,商贸零售,8,2,6,0,0.25,0.75,0.0,-0.002153
10,广交会秋季,10月15日,T,建材,8,2,6,0,0.25,0.75,0.0,-0.001995
10,广交会秋季,10月15日,T,建筑,8,2,6,0,0.25,0.75,0.0,-0.003268
10,广交会秋季,10月15日,T,房地产,8,2,6,0,0.25,0.75,0.0,-0.003903
10,广交会秋季,10月15日,T,电力及公用事业,8,1,7,0,0.125,0.875,0.0,-0.002851
10,广交会秋季,10月15日,T,电力设备及新能源,8,2,6,0,0.25,0.75,0.0,-0.002676
10,广交会秋季,10月15日,T,综合,8,2,6,0,0.25,0.75,0.0,-0.00214
10,广交会秋季,10月15日,T,食品饮料,8,2,6,0,0.25,0.75,0.0,-0.002063
10,广交会秋季,10月15日,T+1,非银行金融,8,5,3,0,0.625,0.375,0.0,0.004927
10,广交会秋季,10月15日,T+5,家电,8,6,2,0,0.75,0.25,0.0,0.003961
10,广交会秋季,10月15日,T+5,电力设备及新能源,8,2,6,0,0.25,0.75,0.0,-0.006956
10,广交会秋季,10月15日,T+5,石油石化,8,1,7,0,0.125,0.875,0.0,-0.013004
10,广交会秋季,10月15日,T+5,钢铁,8,2,6,0,0.25,0.75,0.0,-0.005495
10,广交会秋季,10月15日,T-1,煤炭,8,5,3,0,0.625,0.375,0.0,0.003775
10,广交会秋季,10月15日,T-1,石油石化,8,7,1,0,0.875,0.125,0.0,0.004953
10,广交会秋季,10月15日,T-1,纺织服装,8,6,2,0,0.75,0.25,0.0,0.003119
10,广交会秋季,10月15日,T-1,银行,8,5,3,0,0.625,0.375,0.0,0.00424
10,广交会秋季,10月15日,T-5,农林牧渔,8,6,2,0,0.75,0.25,0.0,0.022336
10,广交会秋季,10月15日,T-5,医药,8,6,2,0,0.75,0.25,0.0,0.005703
10,广交会秋季,10月15日,T-5,家电,8,6,2,0,0.75,0.25,0.0,0.011205
10,广交会秋季,10月15日,T-5,机械,8,6,2,0,0.75,0.25,0.0,0.003648
10,广交会秋季,10月15日,T-5,汽车,8,5,3,0,0.625,0.375,0.0,0.005896
