下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
8,服贸会,8月31日,T,传媒,4,3,1,0,0.75,0.25,0.0,0.002277
8,服贸会,8月31日,T,商贸零售,4,2,2,0,0.5,0.5,0.0,-0.001728
8,服贸会,8月31日,T,房地产,4,3,1,0,0.75,0.25,0.0,0.007337
8,服贸会,8月31日,T,有色金属,4,1,3,0,0.25,0.75,0.0,-0.004625
8,服贸会,8月31日,T,煤炭,4,1,3,0,0.25,0.75,0.0,0.005079
8,服贸会,8月31日,T,通信,4,2,2,0,0.5,0.5,0.0,-0.007745
8,服贸会,8月31日,T,银行,4,3,1,0,0.75,0.25,0.0,0.006936
8,服贸会,8月31日,T+1,交通运输,4,1,3,0,0.25,0.75,0.0,-0.005106
8,服贸会,8月31日,T+1,医药,4,1,3,0,0.25,0.75,0.0,-0.008007
8,服贸会,8月31日,T+1,基础化工,4,1,3,0,0.25,0.75,0.0,-0.012575
8,服贸会,8月31日,T+1,建筑,4,0,4,0,0.0,1.0,0.0,-0.006114
8,服贸会,8月31日,T+1,汽车,4,0,4,0,0.0,1.0,0.0,-0.009873
8,服贸会,8月31日,T+1,消费者服务,4,1,3,0,0.25,0.75,0.0,-0.010764
8,服贸会,8月31日,T+1,电力设备及新能源,4,0,4,0,0.0,1.0,0.0,-0.014843
8,服贸会,8月31日,T+1,钢铁,4,1,3,0,0.25,0.75,0.0,-0.008119
8,服贸会,8月31日,T+1,非银行金融,4,1,3,0,0.25,0.75,0.0,-0.005366
8,服贸会,8月31日,T+5,传媒,4,1,3,0,0.25,0.75,0.0,-0.009052
8,服贸会,8月31日,T+5,农林牧渔,4,2,2,0,0.5,0.5,0.0,-0.011098
8,服贸会,8月31日,T+5,商贸零售,4,2,2,0,0.5,0.5,0.0,-0.003699
8,服贸会,8月31日,T+5,基础化工,4,2,2,0,0.5,0.5,0.0,0.002729
8,服贸会,8月31日,T+5,建材,4,1,3,0,0.25,0.75,0.0,-0.013276
8,服贸会,8月31日,T+5,汽车,4,2,2,0,0.5,0.5,0.0,0.005501
8,服贸会,8月31日,T+5,消费者服务,4,1,3,0,0.25,0.75,0.0,-0.007644
8,服贸会,8月31日,T+5,煤炭,4,3,1,0,0.75,0.25,0.0,0.052126
8,服贸会,8月31日,T+5,电力及公用事业,4,2,2,0,0.5,0.5,0.0,0.02085
8,服贸会,8月31日,T+5,非银行金融,4,3,1,0,0.75,0.25,0.0,0.001662
8,服贸会,8月31日,T+5,食品饮料,4,1,3,0,0.25,0.75,0.0,-0.018593
8,服贸会,8月31日,T-1,商贸零售,4,3,1,0,0.75,0.25,0.0,0.005992
8,服贸会,8月31日,T-1,国防军工,4,1,3,0,0.25,0.75,0.0,-0.005714
8,服贸会,8月31日,T-1,基础化工,4,1,3,0,0.25,0.75,0.0,-0.004877
8,服贸会,8月31日,T-1,房地产,4,3,1,0,0.75,0.25,0.0,0.013276
8,服贸会,8月31日,T-1,电力及公用事业,4,2,2,0,0.5,0.5,0.0,0.00094
8,服贸会,8月31日,T-1,电力设备及新能源,4,1,3,0,0.25,0.75,0.0,-0.011316
8,服贸会,8月31日,T-1,电子,4,1,3,0,0.25,0.75,0.0,0.005959
8,服贸会,8月31日,T-1,石油石化,4,1,3,0,0.25,0.75,0.0,-0.005703
8,服贸会,8月31日,T-1,综合,4,1,3,0,0.25,0.75,0.0,-0.000201
8,服贸会,8月31日,T-1,银行,4,3,1,0,0.75,0.25,0.0,0.006896
8,服贸会,8月31日,T-1,非银行金融,4,3,1,0,0.75,0.25,0.0,0.012718
8,服贸会,8月31日,T-5,煤炭,4,3,1,0,0.75,0.25,0.0,0.015858
8,服贸会,8月31日,T-5,食品饮料,4,2,2,0,0.5,0.5,0.0,-0.001699
