下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
6,央行货币政策委员会例会,6月24日,T,医药,3,3,0,0,1.0,0.0,0.0,0.012121
6,央行货币政策委员会例会,6月24日,T,国防军工,3,2,1,0,0.666667,0.333333,0.0,0.005594
6,央行货币政策委员会例会,6月24日,T,机械,3,2,1,0,0.666667,0.333333,0.0,-5.5e-05
6,央行货币政策委员会例会,6月24日,T,煤炭,3,1,2,0,0.333333,0.666667,0.0,0.003667
6,央行货币政策委员会例会,6月24日,T,电力及公用事业,3,2,1,0,0.666667,0.333333,0.0,0.004089
6,央行货币政策委员会例会,6月24日,T,银行,3,1,2,0,0.333333,0.666667,0.0,-0.001702
6,央行货币政策委员会例会,6月24日,T+1,交通运输,3,1,2,0,0.333333,0.666667,0.0,-0.002005
6,央行货币政策委员会例会,6月24日,T+1,传媒,3,1,2,0,0.333333,0.666667,0.0,0.00155
6,央行货币政策委员会例会,6月24日,T+1,农林牧渔,3,1,2,0,0.333333,0.666667,0.0,0.005177
6,央行货币政策委员会例会,6月24日,T+1,医药,3,3,0,0,1.0,0.0,0.0,0.00995
6,央行货币政策委员会例会,6月24日,T+1,商贸零售,3,2,1,0,0.666667,0.333333,0.0,0.002642
6,央行货币政策委员会例会,6月24日,T+1,国防军工,3,2,1,0,0.666667,0.333333,0.0,-0.004287
6,央行货币政策委员会例会,6月24日,T+1,基础化工,3,1,2,0,0.333333,0.666667,0.0,-0.001979
6,央行货币政策委员会例会,6月24日,T+1,建筑,3,2,1,0,0.666667,0.333333,0.0,-0.000967
6,央行货币政策委员会例会,6月24日,T+1,房地产,3,2,1,0,0.666667,0.333333,0.0,0.000468
6,央行货币政策委员会例会,6月24日,T+1,机械,3,1,2,0,0.333333,0.666667,0.0,-0.005369
6,央行货币政策委员会例会,6月24日,T+1,汽车,3,1,2,0,0.333333,0.666667,0.0,-0.007746
6,央行货币政策委员会例会,6月24日,T+1,电力及公用事业,3,2,1,0,0.666667,0.333333,0.0,-0.0013
6,央行货币政策委员会例会,6月24日,T+1,纺织服装,3,1,2,0,0.333333,0.666667,0.0,-0.003738
6,央行货币政策委员会例会,6月24日,T+1,综合,3,0,3,0,0.0,1.0,0.0,-0.006558
6,央行货币政策委员会例会,6月24日,T+1,计算机,3,2,1,0,0.666667,0.333333,0.0,0.002206
6,央行货币政策委员会例会,6月24日,T+1,轻工制造,3,1,2,0,0.333333,0.666667,0.0,-0.002333
6,央行货币政策委员会例会,6月24日,T+1,非银行金融,3,1,2,0,0.333333,0.666667,0.0,-0.001493
6,央行货币政策委员会例会,6月24日,T+5,建筑,3,3,0,0,1.0,0.0,0.0,0.023103
6,央行货币政策委员会例会,6月24日,T+5,有色金属,3,3,0,0,1.0,0.0,0.0,0.010122
6,央行货币政策委员会例会,6月24日,T+5,电力及公用事业,3,3,0,0,1.0,0.0,0.0,0.032362
6,央行货币政策委员会例会,6月24日,T+5,综合,3,3,0,0,1.0,0.0,0.0,0.023811
6,央行货币政策委员会例会,6月24日,T+5,钢铁,3,3,0,0,1.0,0.0,0.0,0.007968
6,央行货币政策委员会例会,6月24日,T-1,通信,3,2,1,0,0.666667,0.333333,0.0,-0.001521
6,央行货币政策委员会例会,6月24日,T-1,银行,3,3,0,0,1.0,0.0,0.0,0.009034
6,央行货币政策委员会例会,6月24日,T-5,商贸零售,3,1,2,0,0.333333,0.666667,0.0,-0.00079
6,央行货币政策委员会例会,6月24日,T-5,基础化工,3,1,2,0,0.333333,0.666667,0.0,0.007539
6,央行货币政策委员会例会,6月24日,T-5,房地产,3,0,3,0,0.0,1.0,0.0,-0.008506
