下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
3,两会,3月5日,T-1,建材,12,2,10,0,0.166667,0.833333,0.0,-0.010924
3,两会,3月5日,T-1,建筑,12,2,10,0,0.166667,0.833333,0.0,-0.006877
3,中国发展高层论坛,3月24日,T,有色金属,10,7,3,0,0.7,0.3,0.0,0.00352
3,中国发展高层论坛,3月24日,T+1,农林牧渔,10,8,2,0,0.8,0.2,0.0,0.008471
3,中国发展高层论坛,3月24日,T+1,建材,10,3,7,0,0.3,0.7,0.0,0.000528
3,中国发展高层论坛,3月24日,T+1,电力设备及新能源,10,7,3,0,0.7,0.3,0.0,0.000377
3,中国发展高层论坛,3月24日,T+1,计算机,10,3,7,0,0.3,0.7,0.0,0.004597
3,中国发展高层论坛,3月24日,T+1,食品饮料,10,8,2,0,0.8,0.2,0.0,0.009818
3,中国发展高层论坛,3月24日,T+5,农林牧渔,10,8,2,0,0.8,0.2,0.0,0.021675
3,中国发展高层论坛,3月24日,T+5,医药,10,7,3,0,0.7,0.3,0.0,0.015715
3,中国发展高层论坛,3月24日,T+5,商贸零售,10,8,2,0,0.8,0.2,0.0,0.015826
3,中国发展高层论坛,3月24日,T+5,家电,10,7,3,0,0.7,0.3,0.0,0.015758
3,中国发展高层论坛,3月24日,T+5,建材,10,8,2,0,0.8,0.2,0.0,0.012814
3,中国发展高层论坛,3月24日,T+5,机械,10,8,2,0,0.8,0.2,0.0,0.017672
3,中国发展高层论坛,3月24日,T+5,汽车,10,7,3,0,0.7,0.3,0.0,0.00905
3,中国发展高层论坛,3月24日,T+5,消费者服务,10,8,2,0,0.8,0.2,0.0,0.013485
3,中国发展高层论坛,3月24日,T+5,煤炭,10,8,2,0,0.8,0.2,0.0,0.018323
3,中国发展高层论坛,3月24日,T+5,轻工制造,10,9,1,0,0.9,0.1,0.0,0.012932
3,中国发展高层论坛,3月24日,T-1,有色金属,10,3,7,0,0.3,0.7,0.0,-0.004781
3,中国发展高层论坛,3月24日,T-1,银行,10,3,7,0,0.3,0.7,0.0,-0.003933
3,中国发展高层论坛,3月24日,T-5,交通运输,10,7,3,0,0.7,0.3,0.0,0.00825
3,中国发展高层论坛,3月24日,T-5,传媒,10,8,2,0,0.8,0.2,0.0,0.012144
3,中国发展高层论坛,3月24日,T-5,商贸零售,10,9,1,0,0.9,0.1,0.0,0.010391
3,中国发展高层论坛,3月24日,T-5,机械,10,7,3,0,0.7,0.3,0.0,0.005313
3,中国发展高层论坛,3月24日,T-5,汽车,10,7,3,0,0.7,0.3,0.0,0.003874
3,中国发展高层论坛,3月24日,T-5,电子,10,7,3,0,0.7,0.3,0.0,0.005164
3,中国发展高层论坛,3月24日,T-5,纺织服装,10,7,3,0,0.7,0.3,0.0,0.008619
3,中国发展高层论坛,3月24日,T-5,综合,10,7,3,0,0.7,0.3,0.0,0.00904
3,中国发展高层论坛,3月24日,T-5,轻工制造,10,7,3,0,0.7,0.3,0.0,0.006435
3,中国发展高层论坛,3月24日,T-5,通信,10,7,3,0,0.7,0.3,0.0,0.00251
3,中国发展高层论坛,3月24日,T-5,食品饮料,10,7,3,0,0.7,0.3,0.0,0.002916
3,央行货币政策委员会例会,3月29日,T,医药,11,8,3,0,0.727273,0.272727,0.0,0.008025
3,央行货币政策委员会例会,3月29日,T,国防军工,11,8,3,0,0.727273,0.272727,0.0,0.010327
3,央行货币政策委员会例会,3月29日,T,机械,11,9,2,0,0.818182,0.181818,0.0,0.008167
3,央行货币政策委员会例会,3月29日,T,煤炭,11,8,3,0,0.727273,0.272727,0.0,0.011714
3,央行货币政策委员会例会,3月29日,T,电力及公用事业,11,8,3,0,0.727273,0.272727,0.0,0.006034
3,央行货币政策委员会例会,3月29日,T,银行,11,7,4,0,0.636364,0.363636,0.0,0.004309
3,央行货币政策委员会例会,3月29日,T+1,交通运输,11,7,4,0,0.636364,0.363636,0.0,0.004479
3,央行货币政策委员会例会,3月29日,T+1,传媒,11,8,3,0,0.727273,0.272727,0.0,0.016971
3,央行货币政策委员会例会,3月29日,T+1,农林牧渔,11,8,3,0,0.727273,0.272727,0.0,0.015082
3,央行货币政策委员会例会,3月29日,T+1,医药,11,10,1,0,0.909091,0.090909,0.0,0.01255
3,央行货币政策委员会例会,3月29日,T+1,商贸零售,11,8,3,0,0.727273,0.272727,0.0,0.009568
3,央行货币政策委员会例会,3月29日,T+1,国防军工,11,8,3,0,0.727273,0.272727,0.0,0.006887
3,央行货币政策委员会例会,3月29日,T+1,基础化工,11,7,4,0,0.636364,0.363636,0.0,0.010536
3,央行货币政策委员会例会,3月29日,T+1,建筑,11,9,2,0,0.818182,0.181818,0.0,0.008036
3,央行货币政策委员会例会,3月29日,T+1,房地产,11,7,4,0,0.636364,0.363636,0.0,0.012825
3,央行货币政策委员会例会,3月29日,T+1,机械,11,9,2,0,0.818182,0.181818,0.0,0.009909
3,央行货币政策委员会例会,3月29日,T+1,汽车,11,7,4,0,0.636364,0.363636,0.0,0.005673
3,央行货币政策委员会例会,3月29日,T+1,电力及公用事业,11,8,3,0,0.727273,0.272727,0.0,0.004135
3,央行货币政策委员会例会,3月29日,T+1,纺织服装,11,8,3,0,0.727273,0.272727,0.0,0.005919
3,央行货币政策委员会例会,3月29日,T+1,综合,11,7,4,0,0.636364,0.363636,0.0,0.008118
3,央行货币政策委员会例会,3月29日,T+1,计算机,11,8,3,0,0.727273,0.272727,0.0,0.015957
3,央行货币政策委员会例会,3月29日,T+1,轻工制造,11,7,4,0,0.636364,0.363636,0.0,0.009097
3,央行货币政策委员会例会,3月29日,T+1,非银行金融,11,7,4,0,0.636364,0.363636,0.0,0.01024
3,央行货币政策委员会例会,3月29日,T+5,建筑,11,7,4,0,0.636364,0.363636,0.0,0.007243
3,央行货币政策委员会例会,3月29日,T+5,有色金属,11,8,3,0,0.727273,0.272727,0.0,0.012296
3,央行货币政策委员会例会,3月29日,T+5,电力及公用事业,11,7,4,0,0.636364,0.363636,0.0,0.011189
3,央行货币政策委员会例会,3月29日,T+5,综合,11,9,2,0,0.818182,0.181818,0.0,0.00717
3,央行货币政策委员会例会,3月29日,T+5,钢铁,11,9,2,0,0.818182,0.181818,0.0,0.00829
3,央行货币政策委员会例会,3月29日,T-1,通信,11,8,3,0,0.727273,0.272727,0.0,0.004914
3,央行货币政策委员会例会,3月29日,T-1,银行,11,8,3,0,0.727273,0.272727,0.0,0.006324
3,央行货币政策委员会例会,3月29日,T-5,商贸零售,11,3,8,0,0.272727,0.727273,0.0,-0.004109
3,央行货币政策委员会例会,3月29日,T-5,基础化工,11,3,8,0,0.272727,0.727273,0.0,0.000525
3,央行货币政策委员会例会,3月29日,T-5,房地产,11,2,9,0,0.181818,0.818182,0.0,-0.00621
3,央行货币政策委员会例会,3月29日,T-5,有色金属,11,4,7,0,0.363636,0.636364,0.0,0.000728
