下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
12,中央经济工作会议,12月10日,T,房地产,13,3,10,0,0.230769,0.769231,0.0,-0.00516
12,中央经济工作会议,12月10日,T,煤炭,13,4,9,0,0.307692,0.692308,0.0,-0.001855
12,中央经济工作会议,12月10日,T,电力及公用事业,13,2,11,0,0.153846,0.846154,0.0,-0.00517
12,中央经济工作会议,12月10日,T+1,交通运输,13,10,3,0,0.769231,0.230769,0.0,0.00773
12,中央经济工作会议,12月10日,T+1,农林牧渔,13,10,3,0,0.769231,0.230769,0.0,0.007871
12,中央经济工作会议,12月10日,T+1,建材,13,11,2,0,0.846154,0.153846,0.0,0.007911
12,中央经济工作会议,12月10日,T+1,房地产,13,11,2,0,0.846154,0.153846,0.0,0.01143
12,中央经济工作会议,12月10日,T+1,消费者服务,13,10,3,0,0.769231,0.230769,0.0,0.012647
12,中央经济工作会议,12月10日,T+1,电力及公用事业,13,10,3,0,0.769231,0.230769,0.0,0.00739
12,中央经济工作会议,12月10日,T+1,钢铁,13,10,3,0,0.769231,0.230769,0.0,0.007815
12,中央经济工作会议,12月10日,T+1,银行,13,9,4,0,0.692308,0.307692,0.0,0.005292
12,中央经济工作会议,12月10日,T+5,房地产,13,4,9,0,0.307692,0.692308,0.0,-0.012174
12,中央经济工作会议,12月10日,T+5,煤炭,13,4,9,0,0.307692,0.692308,0.0,-0.008291
12,中央经济工作会议,12月10日,T+5,钢铁,13,3,10,0,0.230769,0.769231,0.0,-0.012603
12,中央经济工作会议,12月10日,T+5,银行,13,3,10,0,0.230769,0.769231,0.0,-0.010044
12,中央经济工作会议,12月10日,T-5,交通运输,13,9,4,0,0.692308,0.307692,0.0,0.002965
12,中央经济工作会议,12月10日,T-5,商贸零售,13,10,3,0,0.769231,0.230769,0.0,0.006773
12,中央经济工作会议,12月10日,T-5,家电,13,11,2,0,0.846154,0.153846,0.0,0.007862
12,中央经济工作会议,12月10日,T-5,建筑,13,10,3,0,0.769231,0.230769,0.0,0.006157
12,中央经济工作会议,12月10日,T-5,房地产,13,10,3,0,0.769231,0.230769,0.0,0.006201
12,中央经济工作会议,12月10日,T-5,有色金属,13,9,4,0,0.692308,0.307692,0.0,0.006336
12,中央经济工作会议,12月10日,T-5,煤炭,13,11,2,0,0.846154,0.153846,0.0,0.011131
12,中央经济工作会议,12月10日,T-5,电力及公用事业,13,9,4,0,0.692308,0.307692,0.0,0.005135
12,中央经济工作会议,12月10日,T-5,石油石化,13,10,3,0,0.769231,0.230769,0.0,0.004503
12,中央经济工作会议,12月10日,T-5,综合,13,11,2,0,0.846154,0.153846,0.0,0.006469
12,中央经济工作会议,12月10日,T-5,轻工制造,13,10,3,0,0.769231,0.230769,0.0,0.004384
12,中央经济工作会议,12月10日,T-5,非银行金融,13,10,3,0,0.769231,0.230769,0.0,0.00906
