下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
7.0,世界人工智能大会,7月,T,交通运输,8,1,7,0,0.125,0.875,0.0,-0.007127
7.0,世界人工智能大会,7月,T,医药,8,2,6,0,0.25,0.75,0.0,-0.003446
7.0,世界人工智能大会,7月,T,建材,8,2,6,0,0.25,0.75,0.0,-0.005148
7.0,世界人工智能大会,7月,T,建筑,8,1,7,0,0.125,0.875,0.0,-0.006038
7.0,世界人工智能大会,7月,T,有色金属,8,2,6,0,0.25,0.75,0.0,-0.002137
7.0,世界人工智能大会,7月,T,机械,8,2,6,0,0.25,0.75,0.0,-0.001684
7.0,世界人工智能大会,7月,T,消费者服务,8,2,6,0,0.25,0.75,0.0,-0.01314
7.0,世界人工智能大会,7月,T,煤炭,8,2,6,0,0.25,0.75,0.0,-0.004641
7.0,世界人工智能大会,7月,T,电力及公用事业,8,1,7,0,0.125,0.875,0.0,-0.002904
7.0,世界人工智能大会,7月,T,纺织服装,8,2,6,0,0.25,0.75,0.0,-0.00614
7.0,世界人工智能大会,7月,T,轻工制造,8,2,6,0,0.25,0.75,0.0,-0.006647
7.0,世界人工智能大会,7月,T,钢铁,8,1,7,0,0.125,0.875,0.0,-0.007861
7.0,世界人工智能大会,7月,T,银行,8,2,6,0,0.25,0.75,0.0,-0.008161
7.0,世界人工智能大会,7月,T,非银行金融,8,2,6,0,0.25,0.75,0.0,-0.00409
7.0,世界人工智能大会,7月,T+1,商贸零售,8,6,2,0,0.75,0.25,0.0,0.006694
7.0,世界人工智能大会,7月,T+1,家电,8,2,6,0,0.25,0.75,0.0,-0.004046
7.0,世界人工智能大会,7月,T+1,银行,8,2,6,0,0.25,0.75,0.0,-0.007649
7.0,世界人工智能大会,7月,T+5,基础化工,8,6,2,0,0.75,0.25,0.0,0.01325
7.0,世界人工智能大会,7月,T+5,家电,8,6,2,0,0.75,0.25,0.0,0.006878
7.0,世界人工智能大会,7月,T+5,有色金属,8,6,2,0,0.75,0.25,0.0,0.016037
7.0,世界人工智能大会,7月,T+5,机械,8,7,1,0,0.875,0.125,0.0,0.013617
7.0,世界人工智能大会,7月,T+5,电力及公用事业,8,6,2,0,0.75,0.25,0.0,0.009605
7.0,世界人工智能大会,7月,T+5,电力设备及新能源,8,6,2,0,0.75,0.25,0.0,0.012807
7.0,世界人工智能大会,7月,T+5,纺织服装,8,6,2,0,0.75,0.25,0.0,0.002583
7.0,世界人工智能大会,7月,T+5,钢铁,8,6,2,0,0.75,0.25,0.0,0.010475
7.0,世界人工智能大会,7月,T+5,银行,8,6,2,0,0.75,0.25,0.0,0.011771
7.0,世界人工智能大会,7月,T+5,非银行金融,8,6,2,0,0.75,0.25,0.0,0.004508
7.0,世界人工智能大会,7月,T-1,农林牧渔,8,2,6,0,0.25,0.75,0.0,-0.002384
7.0,世界人工智能大会,7月,T-1,建材,8,2,6,0,0.25,0.75,0.0,-0.002372
7.0,世界人工智能大会,7月,T-1,银行,8,2,6,0,0.25,0.75,0.0,-0.001091
7.0,世界人工智能大会,7月,T-5,有色金属,8,2,6,0,0.25,0.75,0.0,-0.004026
