下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
3.0,两会,3月5日,T-1,建材,13,3,10,0,0.230769,0.769231,0.0,-0.010052
3.0,两会,3月5日,T-1,建筑,13,3,10,0,0.230769,0.769231,0.0,-0.00609
3.0,中国发展高层论坛,3月,T,有色金属,11,8,3,0,0.727273,0.272727,0.0,0.004317
3.0,中国发展高层论坛,3月,T+1,农林牧渔,11,9,2,0,0.818182,0.181818,0.0,0.008369
3.0,中国发展高层论坛,3月,T+1,建材,11,3,8,0,0.272727,0.727273,0.0,6.3e-05
3.0,中国发展高层论坛,3月,T+1,电力设备及新能源,11,8,3,0,0.727273,0.272727,0.0,0.000548
3.0,中国发展高层论坛,3月,T+1,计算机,11,3,8,0,0.272727,0.727273,0.0,0.002116
3.0,中国发展高层论坛,3月,T+1,食品饮料,11,8,3,0,0.727273,0.272727,0.0,0.008757
3.0,中国发展高层论坛,3月,T+5,农林牧渔,11,8,3,0,0.727273,0.272727,0.0,0.018782
3.0,中国发展高层论坛,3月,T+5,医药,11,8,3,0,0.727273,0.272727,0.0,0.014651
3.0,中国发展高层论坛,3月,T+5,商贸零售,11,8,3,0,0.727273,0.272727,0.0,0.013684
3.0,中国发展高层论坛,3月,T+5,家电,11,8,3,0,0.727273,0.272727,0.0,0.014477
3.0,中国发展高层论坛,3月,T+5,建材,11,8,3,0,0.727273,0.272727,0.0,0.010091
3.0,中国发展高层论坛,3月,T+5,机械,11,8,3,0,0.727273,0.272727,0.0,0.013453
3.0,中国发展高层论坛,3月,T+5,汽车,11,8,3,0,0.727273,0.272727,0.0,0.0085
3.0,中国发展高层论坛,3月,T+5,消费者服务,11,8,3,0,0.727273,0.272727,0.0,0.008826
3.0,中国发展高层论坛,3月,T+5,煤炭,11,8,3,0,0.727273,0.272727,0.0,0.013912
3.0,中国发展高层论坛,3月,T+5,轻工制造,11,9,2,0,0.818182,0.181818,0.0,0.010104
3.0,中国发展高层论坛,3月,T-1,有色金属,11,3,8,0,0.272727,0.727273,0.0,-0.006483
3.0,中国发展高层论坛,3月,T-1,银行,11,3,8,0,0.272727,0.727273,0.0,-0.004663
3.0,中国发展高层论坛,3月,T-5,交通运输,11,8,3,0,0.727273,0.272727,0.0,0.007545
3.0,中国发展高层论坛,3月,T-5,传媒,11,8,3,0,0.727273,0.272727,0.0,0.010945
3.0,中国发展高层论坛,3月,T-5,商贸零售,11,10,1,0,0.909091,0.090909,0.0,0.009461
3.0,中国发展高层论坛,3月,T-5,机械,11,8,3,0,0.727273,0.272727,0.0,0.005341
3.0,中国发展高层论坛,3月,T-5,汽车,11,8,3,0,0.727273,0.272727,0.0,0.004292
3.0,中国发展高层论坛,3月,T-5,电子,11,8,3,0,0.727273,0.272727,0.0,0.004985
3.0,中国发展高层论坛,3月,T-5,纺织服装,11,8,3,0,0.727273,0.272727,0.0,0.008283
3.0,中国发展高层论坛,3月,T-5,综合,11,8,3,0,0.727273,0.272727,0.0,0.009463
3.0,中国发展高层论坛,3月,T-5,轻工制造,11,8,3,0,0.727273,0.272727,0.0,0.006471
3.0,中国发展高层论坛,3月,T-5,通信,11,8,3,0,0.727273,0.272727,0.0,0.002655
3.0,中国发展高层论坛,3月,T-5,食品饮料,11,8,3,0,0.727273,0.272727,0.0,0.002673
3.0,央行货币政策委员会例会,3月下旬,T,医药,14,10,4,0,0.714286,0.285714,0.0,0.005757
3.0,央行货币政策委员会例会,3月下旬,T,国防军工,14,10,4,0,0.714286,0.285714,0.0,0.009918
3.0,央行货币政策委员会例会,3月下旬,T,机械,14,10,4,0,0.714286,0.285714,0.0,0.006292
3.0,央行货币政策委员会例会,3月下旬,T,煤炭,14,11,3,0,0.785714,0.214286,0.0,0.012636
3.0,央行货币政策委员会例会,3月下旬,T,电力及公用事业,14,11,3,0,0.785714,0.214286,0.0,0.005313
3.0,央行货币政策委员会例会,3月下旬,T,银行,14,10,4,0,0.714286,0.285714,0.0,0.006818
3.0,央行货币政策委员会例会,3月下旬,T+1,交通运输,14,10,4,0,0.714286,0.285714,0.0,0.004476
3.0,央行货币政策委员会例会,3月下旬,T+1,传媒,14,11,3,0,0.785714,0.214286,0.0,0.017321
3.0,央行货币政策委员会例会,3月下旬,T+1,农林牧渔,14,11,3,0,0.785714,0.214286,0.0,0.013542
3.0,央行货币政策委员会例会,3月下旬,T+1,医药,14,13,1,0,0.928571,0.071429,0.0,0.01267
3.0,央行货币政策委员会例会,3月下旬,T+1,商贸零售,14,11,3,0,0.785714,0.214286,0.0,0.011623
3.0,央行货币政策委员会例会,3月下旬,T+1,国防军工,14,11,3,0,0.785714,0.214286,0.0,0.007338
3.0,央行货币政策委员会例会,3月下旬,T+1,基础化工,14,10,4,0,0.714286,0.285714,0.0,0.012299
3.0,央行货币政策委员会例会,3月下旬,T+1,建筑,14,12,2,0,0.857143,0.142857,0.0,0.008832
3.0,央行货币政策委员会例会,3月下旬,T+1,房地产,14,10,4,0,0.714286,0.285714,0.0,0.014002
3.0,央行货币政策委员会例会,3月下旬,T+1,机械,14,12,2,0,0.857143,0.142857,0.0,0.011474
3.0,央行货币政策委员会例会,3月下旬,T+1,汽车,14,10,4,0,0.714286,0.285714,0.0,0.007633
3.0,央行货币政策委员会例会,3月下旬,T+1,电力及公用事业,14,11,3,0,0.785714,0.214286,0.0,0.004412
3.0,央行货币政策委员会例会,3月下旬,T+1,纺织服装,14,11,3,0,0.785714,0.214286,0.0,0.007622
3.0,央行货币政策委员会例会,3月下旬,T+1,综合,14,10,4,0,0.714286,0.285714,0.0,0.012207
3.0,央行货币政策委员会例会,3月下旬,T+1,计算机,14,11,3,0,0.785714,0.214286,0.0,0.016192
3.0,央行货币政策委员会例会,3月下旬,T+1,轻工制造,14,10,4,0,0.714286,0.285714,0.0,0.010818
3.0,央行货币政策委员会例会,3月下旬,T+1,非银行金融,14,10,4,0,0.714286,0.285714,0.0,0.0108
3.0,央行货币政策委员会例会,3月下旬,T+5,建筑,14,10,4,0,0.714286,0.285714,0.0,0.008023
3.0,央行货币政策委员会例会,3月下旬,T+5,有色金属,14,11,3,0,0.785714,0.214286,0.0,0.02049
3.0,央行货币政策委员会例会,3月下旬,T+5,电力及公用事业,14,10,4,0,0.714286,0.285714,0.0,0.009471
3.0,央行货币政策委员会例会,3月下旬,T+5,综合,14,12,2,0,0.857143,0.142857,0.0,0.008678
3.0,央行货币政策委员会例会,3月下旬,T+5,钢铁,14,12,2,0,0.857143,0.142857,0.0,0.011649
3.0,央行货币政策委员会例会,3月下旬,T-1,通信,14,10,4,0,0.714286,0.285714,0.0,0.006999
3.0,央行货币政策委员会例会,3月下旬,T-1,银行,14,10,4,0,0.714286,0.285714,0.0,0.005206
3.0,央行货币政策委员会例会,3月下旬,T-5,商贸零售,14,4,10,0,0.285714,0.714286,0.0,-0.003961
3.0,央行货币政策委员会例会,3月下旬,T-5,基础化工,14,4,10,0,0.285714,0.714286,0.0,-0.000282
3.0,央行货币政策委员会例会,3月下旬,T-5,房地产,14,4,10,0,0.285714,0.714286,0.0,-0.004825
3.0,央行货币政策委员会例会,3月下旬,T-5,有色金属,14,4,10,0,0.285714,0.714286,0.0,-0.000988
3.0,央行货币政策委员会例会,3月下旬,T-5,石油石化,14,3,11,0,0.214286,0.785714,0.0,-0.002758
3.0,央行货币政策委员会例会,3月下旬,T-5,钢铁,14,2,12,0,0.142857,0.857143,0.0,-0.003939
3.0,美联储FOMC议息会议,3月,T,传媒,32,23,9,0,0.71875,0.28125,0.0,0.010133
3.0,美联储FOMC议息会议,3月,T,汽车,32,24,8,0,0.75,0.25,0.0,0.007446
3.0,美联储FOMC议息会议,3月,T,石油石化,32,23,9,0,0.71875,0.28125,0.0,0.00497
3.0,美联储FOMC议息会议,3月,T,纺织服装,32,23,9,0,0.71875,0.28125,0.0,0.005493
3.0,美联储FOMC议息会议,3月,T+1,交通运输,32,9,23,0,0.28125,0.71875,0.0,-0.004076
3.0,美联储FOMC议息会议,3月,T+1,纺织服装,32,8,24,0,0.25,0.75,0.0,-0.004169
3.0,美联储FOMC议息会议,3月,T+1,非银行金融,32,9,23,0,0.28125,0.71875,0.0,-0.006412
