会议名称,T日,窗口,窗口开始,窗口结束,行业上涨家数,行业下跌家数,行业涨跌明细,行业涨跌幅明细
中关村论坛（2016）,2016-05-25,T,2016-05-25,2016-05-25,8,21,石油石化:涨; 煤炭:涨; 有色金属:跌; 电力及公用事业:跌; 钢铁:涨; 基础化工:跌; 建筑:跌; 建材:跌; 轻工制造:涨; 机械:跌; 电力设备及新能源:跌; 国防军工:跌; 汽车:跌; 商贸零售:涨; 消费者服务:跌; 家电:跌; 纺织服装:跌; 医药:跌; 食品饮料:跌; 农林牧渔:跌; 银行:涨; 非银行金融:涨; 房地产:跌; 交通运输:跌; 电子:跌; 通信:跌; 计算机:涨; 传媒:跌; 综合:跌,石油石化:0.001283; 煤炭:0.006009; 有色金属:-0.01661; 电力及公用事业:-0.003489; 钢铁:0.003257; 基础化工:-0.007738; 建筑:-0.002405; 建材:-0.001721; 轻工制造:0.003425; 机械:-0.00034; 电力设备及新能源:-0.002238; 国防军工:-0.007757; 汽车:-0.005666; 商贸零售:0.000757; 消费者服务:-0.00176; 家电:-0.005883; 纺织服装:-0.005702; 医药:-0.006119; 食品饮料:-0.005619; 农林牧渔:-0.010227; 银行:0.00708; 非银行金融:0.000858; 房地产:-0.003305; 交通运输:-0.011218; 电子:-0.00398; 通信:-0.002256; 计算机:0.001918; 传媒:-0.002047; 综合:-0.001945
中关村论坛（2016）,2016-05-25,T+1,2016-05-26,2016-05-26,25,4,石油石化:涨; 煤炭:涨; 有色金属:涨; 电力及公用事业:涨; 钢铁:涨; 基础化工:涨; 建筑:涨; 建材:涨; 轻工制造:涨; 机械:涨; 电力设备及新能源:涨; 国防军工:涨; 汽车:涨; 商贸零售:涨; 消费者服务:涨; 家电:涨; 纺织服装:跌; 医药:涨; 食品饮料:跌; 农林牧渔:涨; 银行:涨; 非银行金融:涨; 房地产:跌; 交通运输:跌; 电子:涨; 通信:涨; 计算机:涨; 传媒:涨; 综合:涨,石油石化:0.004268; 煤炭:0.008011; 有色金属:0.018123; 电力及公用事业:0.000198; 钢铁:0.008444; 基础化工:0.004365; 建筑:0.001131; 建材:0.003096; 轻工制造:0.008508; 机械:0.003275; 电力设备及新能源:0.002818; 国防军工:0.002897; 汽车:0.004464; 商贸零售:0.000898; 消费者服务:3.8e-05; 家电:0.006438; 纺织服装:-8.1e-05; 医药:0.003485; 食品饮料:-0.004343; 农林牧渔:0.001057; 银行:0.002347; 非银行金融:0.003359; 房地产:-0.000472; 交通运输:-0.0026; 电子:0.008085; 通信:0.008208; 计算机:0.012725; 传媒:0.008026; 综合:0.005427
中关村论坛（2016）,2016-05-25,T+5,2016-05-26,2016-06-01,29,0,石油石化:涨; 煤炭:涨; 有色金属:涨; 电力及公用事业:涨; 钢铁:涨; 基础化工:涨; 建筑:涨; 建材:涨; 轻工制造:涨; 机械:涨; 电力设备及新能源:涨; 国防军工:涨; 汽车:涨; 商贸零售:涨; 消费者服务:涨; 家电:涨; 纺织服装:涨; 医药:涨; 食品饮料:涨; 农林牧渔:涨; 银行:涨; 非银行金融:涨; 房地产:涨; 交通运输:涨; 电子:涨; 通信:涨; 计算机:涨; 传媒:涨; 综合:涨,石油石化:0.027214; 煤炭:0.025806; 有色金属:0.04409; 电力及公用事业:0.028442; 钢铁:0.04332; 基础化工:0.047285; 建筑:0.039769; 建材:0.055366; 轻工制造:0.038808; 机械:0.044892; 电力设备及新能源:0.042259; 国防军工:0.059197; 汽车:0.03589; 商贸零售:0.045009; 消费者服务:0.035722; 家电:0.064934; 纺织服装:0.044385; 医药:0.033162; 食品饮料:0.031405; 农林牧渔:0.039385; 银行:0.022308; 非银行金融:0.047946; 房地产:0.032508; 交通运输:0.031898; 电子:0.07205; 通信:0.056406; 计算机:0.061293; 传媒:0.044856; 综合:0.052511
全国科技创新大会（2016）,2016-05-30,T-5,2016-05-23,2016-05-23,28,1,石油石化:涨; 煤炭:涨; 有色金属:涨; 电力及公用事业:涨; 钢铁:涨; 基础化工:涨; 建筑:涨; 建材:涨; 轻工制造:涨; 机械:涨; 电力设备及新能源:涨; 国防军工:涨; 汽车:涨; 商贸零售:涨; 消费者服务:涨; 家电:涨; 纺织服装:涨; 医药:涨; 食品饮料:涨; 农林牧渔:涨; 银行:跌; 非银行金融:涨; 房地产:涨; 交通运输:涨; 电子:涨; 通信:涨; 计算机:涨; 传媒:涨; 综合:涨,石油石化:0.004566; 煤炭:0.005976; 有色金属:0.009879; 电力及公用事业:0.007943; 钢铁:0.006491; 基础化工:0.021715; 建筑:0.009474; 建材:0.01687; 轻工制造:0.015637; 机械:0.021222; 电力设备及新能源:0.017586; 国防军工:0.008154; 汽车:0.017946; 商贸零售:0.011712; 消费者服务:0.02092; 家电:0.00847; 纺织服装:0.020494; 医药:0.010016; 食品饮料:0.013287; 农林牧渔:0.012348; 银行:-0.004146; 非银行金融:0.001835; 房地产:0.011679; 交通运输:0.013477; 电子:0.021231; 通信:0.01993; 计算机:0.020307; 传媒:0.012783; 综合:0.022099
全国科技创新大会（2016）,2016-05-30,T-1,2016-05-27,2016-05-27,12,17,石油石化:跌; 煤炭:跌; 有色金属:跌; 电力及公用事业:跌; 钢铁:涨; 基础化工:跌; 建筑:跌; 建材:涨; 轻工制造:跌; 机械:跌; 电力设备及新能源:跌; 国防军工:涨; 汽车:跌; 商贸零售:涨; 消费者服务:涨; 家电:涨; 纺织服装:涨; 医药:跌; 食品饮料:跌; 农林牧渔:涨; 银行:涨; 非银行金融:跌; 房地产:涨; 交通运输:跌; 电子:涨; 通信:跌; 计算机:跌; 传媒:跌; 综合:涨,石油石化:-0.004608; 煤炭:-0.003475; 有色金属:-0.011498; 电力及公用事业:-0.000665; 钢铁:0.001714; 基础化工:-0.001276; 建筑:-0.000785; 建材:0.007166; 轻工制造:-0.002082; 机械:-0.002405; 电力设备及新能源:-0.004517; 国防军工:0.011713; 汽车:-0.003105; 商贸零售:0.000737; 消费者服务:0.002054; 家电:0.009927; 纺织服装:0.002775; 医药:-0.00207; 食品饮料:-0.000901; 农林牧渔:0.000192; 银行:0.000676; 非银行金融:-0.00314; 房地产:0.002222; 交通运输:-0.000485; 电子:0.012173; 通信:-0.002782; 计算机:-0.011113; 传媒:-0.005925; 综合:0.002559
全国科技创新大会（2016）,2016-05-30,T,2016-05-30,2016-05-30,5,24,石油石化:跌; 煤炭:跌; 有色金属:跌; 电力及公用事业:跌; 钢铁:跌; 基础化工:跌; 建筑:涨; 建材:跌; 轻工制造:跌; 机械:涨; 电力设备及新能源:跌; 国防军工:跌; 汽车:跌; 商贸零售:跌; 消费者服务:跌; 家电:跌; 纺织服装:跌; 医药:跌; 食品饮料:跌; 农林牧渔:跌; 银行:涨; 非银行金融:涨; 房地产:跌; 交通运输:跌; 电子:跌; 通信:涨; 计算机:跌; 传媒:跌; 综合:跌,石油石化:-0.002273; 煤炭:-0.009095; 有色金属:-0.009608; 电力及公用事业:-0.004501; 钢铁:-0.002041; 基础化工:-0.006255; 建筑:0.003891; 建材:-0.002801; 轻工制造:-0.009054; 机械:6.7e-05; 电力设备及新能源:-0.006312; 国防军工:-0.006318; 汽车:-0.005498; 商贸零售:-0.004674; 消费者服务:-0.009065; 家电:-0.00607; 纺织服装:-0.000315; 医药:-0.004333; 食品饮料:-0.003818; 农林牧渔:-0.007504; 银行:0.0089; 非银行金融:0.005946; 房地产:-0.006363; 交通运输:-0.007507; 电子:-0.000932; 通信:0.002495; 计算机:-0.006393; 传媒:-0.006152; 综合:-0.00406
全国科技创新大会（2016）,2016-05-30,T+1,2016-05-31,2016-05-31,29,0,石油石化:涨; 煤炭:涨; 有色金属:涨; 电力及公用事业:涨; 钢铁:涨; 基础化工:涨; 建筑:涨; 建材:涨; 轻工制造:涨; 机械:涨; 电力设备及新能源:涨; 国防军工:涨; 汽车:涨; 商贸零售:涨; 消费者服务:涨; 家电:涨; 纺织服装:涨; 医药:涨; 食品饮料:涨; 农林牧渔:涨; 银行:涨; 非银行金融:涨; 房地产:涨; 交通运输:涨; 电子:涨; 通信:涨; 计算机:涨; 传媒:涨; 综合:涨,石油石化:0.02943; 煤炭:0.034303; 有色金属:0.0499; 电力及公用事业:0.031991; 钢铁:0.040506; 基础化工:0.043742; 建筑:0.036646; 建材:0.040474; 轻工制造:0.045545; 机械:0.040628; 电力设备及新能源:0.046111; 国防军工:0.043961; 汽车:0.038456; 商贸零售:0.046105; 消费者服务:0.04106; 家电:0.041633; 纺织服装:0.036926; 医药:0.036845; 食品饮料:0.034336; 农林牧渔:0.039396; 银行:0.02004; 非银行金融:0.058325; 房地产:0.036708; 交通运输:0.037772; 电子:0.045212; 通信:0.050227; 计算机:0.071967; 传媒:0.053723; 综合:0.046228
全国科技创新大会（2016）,2016-05-30,T+5,2016-05-31,2016-06-06,26,3,石油石化:涨; 煤炭:跌; 有色金属:涨; 电力及公用事业:涨; 钢铁:涨; 基础化工:涨; 建筑:涨; 建材:涨; 轻工制造:涨; 机械:涨; 电力设备及新能源:涨; 国防军工:涨; 汽车:涨; 商贸零售:涨; 消费者服务:涨; 家电:涨; 纺织服装:涨; 医药:涨; 食品饮料:涨; 农林牧渔:涨; 银行:跌; 非银行金融:跌; 房地产:涨; 交通运输:涨; 电子:涨; 通信:涨; 计算机:涨; 传媒:涨; 综合:涨,石油石化:0.007356; 煤炭:-0.001798; 有色金属:0.032728; 电力及公用事业:0.011325; 钢铁:0.012914; 基础化工:0.033122; 建筑:0.00617; 建材:0.022664; 轻工制造:0.02481; 机械:0.021643; 电力设备及新能源:0.029445; 国防军工:0.016392; 汽车:0.018684; 商贸零售:0.024466; 消费者服务:0.0126; 家电:0.042656; 纺织服装:0.020524; 医药:0.019824; 食品饮料:0.041896; 农林牧渔:0.019448; 银行:-0.00867; 非银行金融:-0.014304; 房地产:0.013008; 交通运输:0.017079; 电子:0.040123; 通信:0.029885; 计算机:0.03354; 传媒:0.023388; 综合:0.029372
陆家嘴论坛（2016）,2016-06-12,T-5,2016-06-02,2016-06-02,28,1,石油石化:涨; 煤炭:涨; 有色金属:涨; 电力及公用事业:涨; 钢铁:涨; 基础化工:涨; 建筑:涨; 建材:涨; 轻工制造:涨; 机械:涨; 电力设备及新能源:涨; 国防军工:涨; 汽车:涨; 商贸零售:涨; 消费者服务:涨; 家电:涨; 纺织服装:涨; 医药:涨; 食品饮料:涨; 农林牧渔:涨; 银行:跌; 非银行金融:涨; 房地产:涨; 交通运输:涨; 电子:涨; 通信:涨; 计算机:涨; 传媒:涨; 综合:涨,石油石化:0.003811; 煤炭:0.006619; 有色金属:0.009641; 电力及公用事业:0.003392; 钢铁:0.011548; 基础化工:0.01288; 建筑:0.005632; 建材:0.016633; 轻工制造:0.010523; 机械:0.009355; 电力设备及新能源:0.010657; 国防军工:0.007034; 汽车:0.007513; 商贸零售:0.005838; 消费者服务:0.001995; 家电:0.005367; 纺织服装:0.006024; 医药:0.00495; 食品饮料:0.011604; 农林牧渔:0.003592; 银行:-0.003025; 非银行金融:0.003971; 房地产:0.007281; 交通运输:0.006358; 电子:0.022802; 通信:0.008275; 计算机:0.013672; 传媒:0.008747; 综合:0.010726
陆家嘴论坛（2016）,2016-06-12,T-1,2016-06-08,2016-06-08,7,22,石油石化:涨; 煤炭:跌; 有色金属:跌; 电力及公用事业:涨; 钢铁:跌; 基础化工:涨; 建筑:跌; 建材:跌; 轻工制造:跌; 机械:涨; 电力设备及新能源:跌; 国防军工:涨; 汽车:涨; 商贸零售:跌; 消费者服务:跌; 家电:跌; 纺织服装:跌; 医药:跌; 食品饮料:跌; 农林牧渔:跌; 银行:跌; 非银行金融:跌; 房地产:涨; 交通运输:跌; 电子:跌; 通信:跌; 计算机:跌; 传媒:跌; 综合:跌,石油石化:0.00018; 煤炭:-3.8e-05; 有色金属:-0.007075; 电力及公用事业:0.002361; 钢铁:-0.005618; 基础化工:0.000982; 建筑:-0.004728; 建材:-0.006543; 轻工制造:-0.001354; 机械:0.001067; 电力设备及新能源:-0.000295; 国防军工:0.012182; 汽车:0.000607; 商贸零售:-0.005589; 消费者服务:-0.005349; 家电:-0.004659; 纺织服装:-0.005051; 医药:-0.005882; 食品饮料:-0.01315; 农林牧渔:-0.010439; 银行:-0.000849; 非银行金融:-0.002972; 房地产:0.00045; 交通运输:-0.003977; 电子:-0.006267; 通信:-0.000587; 计算机:-0.003044; 传媒:-0.013726; 综合:-0.003788
