meeting_family,window,industry,届数,平均涨跌幅,最大涨跌幅,最小涨跌幅,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,权重,权重_百分比
中国—东盟博览会,T-1,传媒,11,-0.006907,0.004454,-0.023593,3,8,0,0.272727,0.727273,0.0,-0.00189875,-0.1899
中国—东盟博览会,T-1,农林牧渔,11,-0.005939,0.008625,-0.031749,3,8,0,0.272727,0.727273,0.0,-0.00163264,-0.1633
中国—东盟博览会,T-1,基础化工,11,-0.007819,0.010105,-0.030501,2,9,0,0.181818,0.818182,0.0,-0.00214946,-0.2149
中国—东盟博览会,T-1,家电,11,-0.006171,0.007595,-0.035761,3,8,0,0.272727,0.727273,0.0,-0.00169642,-0.1696
中国—东盟博览会,T-1,汽车,11,-0.006832,0.018816,-0.037736,3,8,0,0.272727,0.727273,0.0,-0.00187813,-0.1878
中国—东盟博览会,T-1,钢铁,11,-0.003787,0.053874,-0.036149,3,8,0,0.272727,0.727273,0.0,-0.00104105,-0.1041
中国—东盟博览会,T-1,银行,11,-0.002001,0.014024,-0.017444,3,8,0,0.272727,0.727273,0.0,-0.00055008,-0.055
中国—东盟博览会,T-1,非银行金融,11,-0.00371,0.010924,-0.025755,3,8,0,0.272727,0.727273,0.0,-0.00101989,-0.102
中国—东盟博览会,T-5,农林牧渔,11,0.001236,0.028442,-0.019466,8,3,0,0.727273,0.272727,0.0,0.00033978,0.034
中国—东盟博览会,T-5,医药,11,0.00227,0.027857,-0.013504,8,3,0,0.727273,0.272727,0.0,0.00062403,0.0624
中国—东盟博览会,T-5,商贸零售,11,0.003986,0.025466,-0.014655,8,3,0,0.727273,0.272727,0.0,0.00109576,0.1096
中国—东盟博览会,T-5,建筑,11,-0.003804,0.006808,-0.018029,3,8,0,0.272727,0.727273,0.0,-0.00104573,-0.1046
中国—东盟博览会,T-5,消费者服务,11,0.004257,0.029225,-0.026498,8,3,0,0.727273,0.272727,0.0,0.00117026,0.117
中国—东盟博览会,T-5,纺织服装,11,0.002372,0.015967,-0.012958,8,3,0,0.727273,0.272727,0.0,0.00065207,0.0652
中国—东盟博览会,T-5,通信,11,0.005457,0.033109,-0.007711,8,3,0,0.727273,0.272727,0.0,0.00150014,0.15
中国—东盟博览会,T-5,非银行金融,11,-0.003776,0.011391,-0.023298,3,8,0,0.272727,0.727273,0.0,-0.00103803,-0.1038
中国发展高层论坛,T,有色金属,11,0.004317,0.029727,-0.03713,8,3,0,0.727273,0.272727,0.0,0.00118675,0.1187
中国发展高层论坛,T+1,农林牧渔,11,0.008369,0.029491,-0.007636,9,2,0,0.818182,0.181818,0.0,0.00230066,0.2301
中国发展高层论坛,T+1,建材,11,6.3e-05,0.030016,-0.015369,3,8,0,0.272727,0.727273,0.0,1.732e-05,0.0017
中国发展高层论坛,T+1,电力设备及新能源,11,0.000548,0.018976,-0.026748,8,3,0,0.727273,0.272727,0.0,0.00015065,0.0151
中国发展高层论坛,T+1,计算机,11,0.002116,0.051498,-0.022689,3,8,0,0.272727,0.727273,0.0,0.00058169,0.0582
中国发展高层论坛,T+1,食品饮料,11,0.008757,0.039075,-0.00233,8,3,0,0.727273,0.272727,0.0,0.00240732,0.2407
中国发展高层论坛,T+5,农林牧渔,11,0.018782,0.091725,-0.01076,8,3,0,0.727273,0.272727,0.0,0.00516321,0.5163
中国发展高层论坛,T+5,医药,11,0.014651,0.074592,-0.014469,8,3,0,0.727273,0.272727,0.0,0.00402759,0.4028
中国发展高层论坛,T+5,商贸零售,11,0.013684,0.060795,-0.007737,8,3,0,0.727273,0.272727,0.0,0.00376176,0.3762
中国发展高层论坛,T+5,家电,11,0.014477,0.088865,-0.022916,8,3,0,0.727273,0.272727,0.0,0.00397976,0.398
中国发展高层论坛,T+5,建材,11,0.010091,0.069177,-0.032226,8,3,0,0.727273,0.272727,0.0,0.00277404,0.2774
中国发展高层论坛,T+5,机械,11,0.013453,0.064036,-0.028735,8,3,0,0.727273,0.272727,0.0,0.00369826,0.3698
中国发展高层论坛,T+5,汽车,11,0.0085,0.040684,-0.026322,8,3,0,0.727273,0.272727,0.0,0.00233667,0.2337
中国发展高层论坛,T+5,消费者服务,11,0.008826,0.082302,-0.053402,8,3,0,0.727273,0.272727,0.0,0.00242629,0.2426
中国发展高层论坛,T+5,煤炭,11,0.013912,0.073731,-0.030191,8,3,0,0.727273,0.272727,0.0,0.00382444,0.3824
中国发展高层论坛,T+5,轻工制造,11,0.010104,0.075697,-0.018174,9,2,0,0.818182,0.181818,0.0,0.00277761,0.2778
中国发展高层论坛,T-1,有色金属,11,-0.006483,0.03622,-0.047341,3,8,0,0.272727,0.727273,0.0,-0.00178219,-0.1782
中国发展高层论坛,T-1,银行,11,-0.004663,0.023601,-0.029986,3,8,0,0.272727,0.727273,0.0,-0.00128187,-0.1282
中国发展高层论坛,T-5,交通运输,11,0.007545,0.038859,-0.029019,8,3,0,0.727273,0.272727,0.0,0.00207414,0.2074
中国发展高层论坛,T-5,传媒,11,0.010945,0.050406,-0.041675,8,3,0,0.727273,0.272727,0.0,0.0030088,0.3009
中国发展高层论坛,T-5,商贸零售,11,0.009461,0.037449,-0.032047,10,1,0,0.909091,0.090909,0.0,0.00260085,0.2601
中国发展高层论坛,T-5,机械,11,0.005341,0.038172,-0.046669,8,3,0,0.727273,0.272727,0.0,0.00146825,0.1468
中国发展高层论坛,T-5,汽车,11,0.004292,0.031706,-0.056303,8,3,0,0.727273,0.272727,0.0,0.00117988,0.118
中国发展高层论坛,T-5,电子,11,0.004985,0.040588,-0.076191,8,3,0,0.727273,0.272727,0.0,0.00137039,0.137
中国发展高层论坛,T-5,纺织服装,11,0.008283,0.041639,-0.012661,8,3,0,0.727273,0.272727,0.0,0.00227701,0.2277
中国发展高层论坛,T-5,综合,11,0.009463,0.040861,-0.018726,8,3,0,0.727273,0.272727,0.0,0.0026014,0.2601
中国发展高层论坛,T-5,轻工制造,11,0.006471,0.043721,-0.041178,8,3,0,0.727273,0.272727,0.0,0.00177889,0.1779
中国发展高层论坛,T-5,通信,11,0.002655,0.046731,-0.076314,8,3,0,0.727273,0.272727,0.0,0.00072987,0.073
中国发展高层论坛,T-5,食品饮料,11,0.002673,0.059805,-0.039711,8,3,0,0.727273,0.272727,0.0,0.00073481,0.0735
中国国际进口博览会,T,交通运输,8,0.003023,0.018418,-0.012383,6,2,0,0.75,0.25,0.0,0.00083103,0.0831
中国国际进口博览会,T,传媒,8,0.016797,0.049255,-0.003775,6,2,0,0.75,0.25,0.0,0.00461753,0.4618
中国国际进口博览会,T,农林牧渔,8,0.005634,0.016569,-0.019293,6,2,0,0.75,0.25,0.0,0.0015488,0.1549
中国国际进口博览会,T,商贸零售,8,0.009948,0.026653,-0.007652,7,1,0,0.875,0.125,0.0,0.00273473,0.2735
中国国际进口博览会,T,基础化工,8,0.007848,0.028203,-0.032046,7,1,0,0.875,0.125,0.0,0.00215743,0.2157
中国国际进口博览会,T,家电,8,0.004895,0.010835,-0.000993,7,1,0,0.875,0.125,0.0,0.00134565,0.1346
