下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
9.0,中国—东盟博览会,9月,T,农林牧渔,11,3,8,0,0.272727,0.727273,0.0,-0.007278
9.0,中国—东盟博览会,9月,T,医药,11,3,8,0,0.272727,0.727273,0.0,-0.006983
9.0,中国—东盟博览会,9月,T,商贸零售,11,3,8,0,0.272727,0.727273,0.0,-0.005532
9.0,中国—东盟博览会,9月,T,纺织服装,11,2,9,0,0.181818,0.818182,0.0,-0.003867
9.0,中国—东盟博览会,9月,T,通信,11,2,9,0,0.181818,0.818182,0.0,-0.005397
9.0,中国—东盟博览会,9月,T,钢铁,11,3,8,0,0.272727,0.727273,0.0,-0.008577
9.0,中国—东盟博览会,9月,T+1,有色金属,11,9,2,0,0.818182,0.181818,0.0,0.00747
9.0,中国—东盟博览会,9月,T+1,消费者服务,11,8,3,0,0.727273,0.272727,0.0,0.009214
9.0,中国—东盟博览会,9月,T+1,煤炭,11,10,1,0,0.909091,0.090909,0.0,0.00909
9.0,中国—东盟博览会,9月,T+1,电力及公用事业,11,8,3,0,0.727273,0.272727,0.0,0.003844
9.0,中国—东盟博览会,9月,T+5,纺织服装,11,3,8,0,0.272727,0.727273,0.0,-0.005438
9.0,中国—东盟博览会,9月,T-1,传媒,11,3,8,0,0.272727,0.727273,0.0,-0.006907
9.0,中国—东盟博览会,9月,T-1,农林牧渔,11,3,8,0,0.272727,0.727273,0.0,-0.005939
9.0,中国—东盟博览会,9月,T-1,基础化工,11,2,9,0,0.181818,0.818182,0.0,-0.007819
9.0,中国—东盟博览会,9月,T-1,家电,11,3,8,0,0.272727,0.727273,0.0,-0.006171
9.0,中国—东盟博览会,9月,T-1,汽车,11,3,8,0,0.272727,0.727273,0.0,-0.006832
9.0,中国—东盟博览会,9月,T-1,钢铁,11,3,8,0,0.272727,0.727273,0.0,-0.003787
9.0,中国—东盟博览会,9月,T-1,银行,11,3,8,0,0.272727,0.727273,0.0,-0.002001
9.0,中国—东盟博览会,9月,T-1,非银行金融,11,3,8,0,0.272727,0.727273,0.0,-0.00371
9.0,中国—东盟博览会,9月,T-5,农林牧渔,11,8,3,0,0.727273,0.272727,0.0,0.001236
9.0,中国—东盟博览会,9月,T-5,医药,11,8,3,0,0.727273,0.272727,0.0,0.00227
9.0,中国—东盟博览会,9月,T-5,商贸零售,11,8,3,0,0.727273,0.272727,0.0,0.003986
9.0,中国—东盟博览会,9月,T-5,建筑,11,3,8,0,0.272727,0.727273,0.0,-0.003804
9.0,中国—东盟博览会,9月,T-5,消费者服务,11,8,3,0,0.727273,0.272727,0.0,0.004257
9.0,中国—东盟博览会,9月,T-5,纺织服装,11,8,3,0,0.727273,0.272727,0.0,0.002372
9.0,中国—东盟博览会,9月,T-5,通信,11,8,3,0,0.727273,0.272727,0.0,0.005457
9.0,中国—东盟博览会,9月,T-5,非银行金融,11,3,8,0,0.272727,0.727273,0.0,-0.003776
9.0,服贸会,9月,T,传媒,7,5,2,0,0.714286,0.285714,0.0,0.003574
9.0,服贸会,9月,T,商贸零售,7,5,2,0,0.714286,0.285714,0.0,0.002336
9.0,服贸会,9月,T,房地产,7,5,2,0,0.714286,0.285714,0.0,0.004368
9.0,服贸会,9月,T,有色金属,7,2,5,0,0.285714,0.714286,0.0,-0.002424
9.0,服贸会,9月,T,煤炭,7,2,5,0,0.285714,0.714286,0.0,0.003003
9.0,服贸会,9月,T,通信,7,5,2,0,0.714286,0.285714,0.0,0.002772
9.0,服贸会,9月,T,银行,7,5,2,0,0.714286,0.285714,0.0,0.004399
9.0,服贸会,9月,T+1,交通运输,7,2,5,0,0.285714,0.714286,0.0,-0.00452
9.0,服贸会,9月,T+1,医药,7,2,5,0,0.285714,0.714286,0.0,-0.006054
9.0,服贸会,9月,T+1,基础化工,7,2,5,0,0.285714,0.714286,0.0,-0.005778
9.0,服贸会,9月,T+1,建筑,7,2,5,0,0.285714,0.714286,0.0,-0.003524
9.0,服贸会,9月,T+1,汽车,7,2,5,0,0.285714,0.714286,0.0,-0.004819
9.0,服贸会,9月,T+1,消费者服务,7,2,5,0,0.285714,0.714286,0.0,-0.008158
9.0,服贸会,9月,T+1,电力设备及新能源,7,2,5,0,0.285714,0.714286,0.0,-0.005099
9.0,服贸会,9月,T+1,钢铁,7,2,5,0,0.285714,0.714286,0.0,-0.004667
9.0,服贸会,9月,T+1,非银行金融,7,2,5,0,0.285714,0.714286,0.0,-0.002079
9.0,服贸会,9月,T+5,传媒,7,2,5,0,0.285714,0.714286,0.0,-0.01084
9.0,服贸会,9月,T+5,农林牧渔,7,2,5,0,0.285714,0.714286,0.0,-0.015453
9.0,服贸会,9月,T+5,商贸零售,7,2,5,0,0.285714,0.714286,0.0,-0.00606
9.0,服贸会,9月,T+5,基础化工,7,2,5,0,0.285714,0.714286,0.0,-0.001495
9.0,服贸会,9月,T+5,建材,7,2,5,0,0.285714,0.714286,0.0,-0.011781
9.0,服贸会,9月,T+5,汽车,7,5,2,0,0.714286,0.285714,0.0,0.0118
9.0,服贸会,9月,T+5,消费者服务,7,1,6,0,0.142857,0.857143,0.0,-0.011256
9.0,服贸会,9月,T+5,煤炭,7,5,2,0,0.714286,0.285714,0.0,0.03572
9.0,服贸会,9月,T+5,电力及公用事业,7,2,5,0,0.285714,0.714286,0.0,0.007374
9.0,服贸会,9月,T+5,非银行金融,7,5,2,0,0.714286,0.285714,0.0,0.000956
9.0,服贸会,9月,T+5,食品饮料,7,1,6,0,0.142857,0.857143,0.0,-0.023956
9.0,服贸会,9月,T-1,商贸零售,7,5,2,0,0.714286,0.285714,0.0,0.006249
9.0,服贸会,9月,T-1,国防军工,7,1,6,0,0.142857,0.857143,0.0,-0.009102
9.0,服贸会,9月,T-1,基础化工,7,2,5,0,0.285714,0.714286,0.0,-0.005595
9.0,服贸会,9月,T-1,房地产,7,5,2,0,0.714286,0.285714,0.0,0.008917
9.0,服贸会,9月,T-1,电力及公用事业,7,2,5,0,0.285714,0.714286,0.0,-0.001875
9.0,服贸会,9月,T-1,电力设备及新能源,7,1,6,0,0.142857,0.857143,0.0,-0.010915
9.0,服贸会,9月,T-1,电子,7,1,6,0,0.142857,0.857143,0.0,-0.003915
9.0,服贸会,9月,T-1,石油石化,7,2,5,0,0.285714,0.714286,0.0,-0.004083
9.0,服贸会,9月,T-1,综合,7,2,5,0,0.285714,0.714286,0.0,-0.002911
9.0,服贸会,9月,T-1,银行,7,6,1,0,0.857143,0.142857,0.0,0.006733
