下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
12,中央经济工作会议,12月11日,T,房地产,12,2,10,0,0.166667,0.833333,0.0,-0.006337
12,中央经济工作会议,12月11日,T,煤炭,12,4,8,0,0.333333,0.666667,0.0,-0.001948
12,中央经济工作会议,12月11日,T,电力及公用事业,12,2,10,0,0.166667,0.833333,0.0,-0.004955
12,中央经济工作会议,12月11日,T+1,交通运输,12,9,3,0,0.75,0.25,0.0,0.00802
12,中央经济工作会议,12月11日,T+1,农林牧渔,12,9,3,0,0.75,0.25,0.0,0.006959
12,中央经济工作会议,12月11日,T+1,建材,12,10,2,0,0.833333,0.166667,0.0,0.007775
12,中央经济工作会议,12月11日,T+1,房地产,12,10,2,0,0.833333,0.166667,0.0,0.010519
12,中央经济工作会议,12月11日,T+1,消费者服务,12,9,3,0,0.75,0.25,0.0,0.012697
12,中央经济工作会议,12月11日,T+1,电力及公用事业,12,9,3,0,0.75,0.25,0.0,0.007337
12,中央经济工作会议,12月11日,T+1,钢铁,12,9,3,0,0.75,0.25,0.0,0.00712
12,中央经济工作会议,12月11日,T+1,银行,12,9,3,0,0.75,0.25,0.0,0.006715
12,中央经济工作会议,12月11日,T+5,房地产,12,4,8,0,0.333333,0.666667,0.0,-0.008214
12,中央经济工作会议,12月11日,T+5,煤炭,12,4,8,0,0.333333,0.666667,0.0,-0.00663
12,中央经济工作会议,12月11日,T+5,钢铁,12,3,9,0,0.25,0.75,0.0,-0.009639
12,中央经济工作会议,12月11日,T+5,银行,12,2,10,0,0.166667,0.833333,0.0,-0.010898
12,中央经济工作会议,12月11日,T-5,交通运输,12,8,4,0,0.666667,0.333333,0.0,0.002472
12,中央经济工作会议,12月11日,T-5,商贸零售,12,9,3,0,0.75,0.25,0.0,0.007249
12,中央经济工作会议,12月11日,T-5,家电,12,10,2,0,0.833333,0.166667,0.0,0.008464
12,中央经济工作会议,12月11日,T-5,建筑,12,9,3,0,0.75,0.25,0.0,0.005628
12,中央经济工作会议,12月11日,T-5,房地产,12,9,3,0,0.75,0.25,0.0,0.005851
12,中央经济工作会议,12月11日,T-5,有色金属,12,8,4,0,0.666667,0.333333,0.0,0.006816
12,中央经济工作会议,12月11日,T-5,煤炭,12,10,2,0,0.833333,0.166667,0.0,0.011142
12,中央经济工作会议,12月11日,T-5,电力及公用事业,12,8,4,0,0.666667,0.333333,0.0,0.00451
12,中央经济工作会议,12月11日,T-5,石油石化,12,9,3,0,0.75,0.25,0.0,0.00443
12,中央经济工作会议,12月11日,T-5,综合,12,10,2,0,0.833333,0.166667,0.0,0.006277
12,中央经济工作会议,12月11日,T-5,轻工制造,12,9,3,0,0.75,0.25,0.0,0.004673
12,中央经济工作会议,12月11日,T-5,非银行金融,12,9,3,0,0.75,0.25,0.0,0.009556
