下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
7,世界人工智能大会,7月6日,T,交通运输,6,1,5,0,0.166667,0.833333,0.0,-0.005363
7,世界人工智能大会,7月6日,T,医药,6,1,5,0,0.166667,0.833333,0.0,-0.003927
7,世界人工智能大会,7月6日,T,建材,6,2,4,0,0.333333,0.666667,0.0,-0.003066
7,世界人工智能大会,7月6日,T,建筑,6,1,5,0,0.166667,0.833333,0.0,-0.00419
7,世界人工智能大会,7月6日,T,有色金属,6,2,4,0,0.333333,0.666667,0.0,-0.000918
7,世界人工智能大会,7月6日,T,机械,6,1,5,0,0.166667,0.833333,0.0,-0.000664
7,世界人工智能大会,7月6日,T,消费者服务,6,2,4,0,0.333333,0.666667,0.0,-0.009083
7,世界人工智能大会,7月6日,T,煤炭,6,2,4,0,0.333333,0.666667,0.0,-0.000726
7,世界人工智能大会,7月6日,T,电力及公用事业,6,1,5,0,0.166667,0.833333,0.0,-0.002181
7,世界人工智能大会,7月6日,T,纺织服装,6,2,4,0,0.333333,0.666667,0.0,-0.002828
7,世界人工智能大会,7月6日,T,轻工制造,6,1,5,0,0.166667,0.833333,0.0,-0.00443
7,世界人工智能大会,7月6日,T,钢铁,6,1,5,0,0.166667,0.833333,0.0,-0.006184
7,世界人工智能大会,7月6日,T,银行,6,0,6,0,0.0,1.0,0.0,-0.011341
7,世界人工智能大会,7月6日,T,非银行金融,6,1,5,0,0.166667,0.833333,0.0,-0.005661
7,世界人工智能大会,7月6日,T+1,商贸零售,6,5,1,0,0.833333,0.166667,0.0,0.00758
7,世界人工智能大会,7月6日,T+1,家电,6,2,4,0,0.333333,0.666667,0.0,-0.002882
7,世界人工智能大会,7月6日,T+1,银行,6,2,4,0,0.333333,0.666667,0.0,-0.004794
7,世界人工智能大会,7月6日,T+5,基础化工,6,5,1,0,0.833333,0.166667,0.0,0.017468
7,世界人工智能大会,7月6日,T+5,家电,6,5,1,0,0.833333,0.166667,0.0,0.007874
7,世界人工智能大会,7月6日,T+5,有色金属,6,5,1,0,0.833333,0.166667,0.0,0.020434
7,世界人工智能大会,7月6日,T+5,机械,6,5,1,0,0.833333,0.166667,0.0,0.014258
7,世界人工智能大会,7月6日,T+5,电力及公用事业,6,5,1,0,0.833333,0.166667,0.0,0.012251
7,世界人工智能大会,7月6日,T+5,电力设备及新能源,6,5,1,0,0.833333,0.166667,0.0,0.021147
7,世界人工智能大会,7月6日,T+5,纺织服装,6,5,1,0,0.833333,0.166667,0.0,0.00461
7,世界人工智能大会,7月6日,T+5,钢铁,6,5,1,0,0.833333,0.166667,0.0,0.018374
7,世界人工智能大会,7月6日,T+5,银行,6,4,2,0,0.666667,0.333333,0.0,0.011315
7,世界人工智能大会,7月6日,T+5,非银行金融,6,5,1,0,0.833333,0.166667,0.0,0.009878
7,世界人工智能大会,7月6日,T-1,农林牧渔,6,2,4,0,0.333333,0.666667,0.0,-0.002262
7,世界人工智能大会,7月6日,T-1,建材,6,2,4,0,0.333333,0.666667,0.0,0.00083
7,世界人工智能大会,7月6日,T-1,银行,6,2,4,0,0.333333,0.666667,0.0,0.000394
7,世界人工智能大会,7月6日,T-5,有色金属,6,1,5,0,0.166667,0.833333,0.0,-0.005398
