下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
2,美联储FOMC议息会议,2月1日,T,传媒,16,11,5,0,0.6875,0.3125,0.0,0.010398
2,美联储FOMC议息会议,2月1日,T,汽车,16,10,6,0,0.625,0.375,0.0,0.007383
2,美联储FOMC议息会议,2月1日,T,石油石化,16,11,5,0,0.6875,0.3125,0.0,0.003906
2,美联储FOMC议息会议,2月1日,T,纺织服装,16,15,1,0,0.9375,0.0625,0.0,0.008722
2,美联储FOMC议息会议,2月1日,T+1,交通运输,16,3,13,0,0.1875,0.8125,0.0,-0.005145
2,美联储FOMC议息会议,2月1日,T+1,纺织服装,16,4,12,0,0.25,0.75,0.0,-0.004502
2,美联储FOMC议息会议,2月1日,T+1,非银行金融,16,5,11,0,0.3125,0.6875,0.0,-0.00642
